buy_service_id,spm_kpi_tt,tt_flag
N1397521,,
N1397528,,
N1397526,,
N1397524,,
N1397517,,
N1397697,,
N1397688,,
N1397684,,
N1397694,,
N1397693,,
N1397681,,
N1397687,,
N1397677,,
N1397673,,
N1397679,,
N1397675,,
N1397676,,
N1397671,,
N1397678,,
N1397669,,
N1397665,,
N1527391,,
N1397658,,
N1397662,,
N1397663,,
N1397664,,
N1397654,,
N1397656,,
N1397648,,
N1397657,,
N1397650,,
N1397652,,
N1397644,,
N1397642,,
N1397653,,
N1397651,,
N1397638,,
N1397645,,
N1397646,,
N1397641,,
N1397640,,
N1397637,,
N1395964,,
N1397635,,
N1397631,,
N1397627,,
N1397629,,
N1397624,,
N1397625,,
N1397618,,
N1397621,,
N1397622,,
N1397614,,
N1397619,Correct,1
N1397615,,
N1409562,,
N1409560,,
N1397424,,
N1397423,,
N1397421,,
N1397422,,
N1397419,,
N1397420,,
N1397417,,
N1397432,,
N1397415,,
N1397411,,
N1437936,,
N1437935,,
N1397403,,
N1397406,,
N1397408,,
N1397409,,
N1397466,,
N1397398,,
N1397404,,
N1397405,,
N1397395,,
N1397400,,
N1397401,,
N1397392,,
N1397390,,
N1397394,,
N1397396,,
N1397387,,
N1397391,,
N1529086,,
N1397385,,
N1397382,,
N1397380,,
N1397383,,
N1397376,,
N1397379,,
N1397377,,
N1397374,,
N1397375,,
N1397373,,
N1397371,,
N1397369,,
N1397367,,
N1397368,,
N1397365,,
N1397366,,
N1397362,,
N1397363,,
N1397359,,
N1397357,,
N1398769,Incorrect,1
N1397360,,
N1397355,,
N1397523,,
N1397518,,
N1397519,,
N1397522,Correct,1
N1397514,,
N1397511,,
N1397515,,
N1397512,,
N1397508,,
N1397506,,
N1397502,,
N1409769,,
N1437934,,
N1397500,,
N1397494,,
N1437937,,
N1397492,,
N1397486,,
N1397461,,
N1397491,,
N1397488,,
N1397483,,
N1397484,,
N1397479,,
N1397482,,
N1397477,,
N1397478,,
N1397475,,
N1397476,,
N1397473,,
N1397474,,
N1397471,,
N1397464,,
N1397469,,
N1397467,,
N1397458,,
N1397468,,
N1397465,,
N1397462,,
N1397454,,
N1397460,,
N1397452,,
N1397459,,
N1397447,,
N1397453,,
N1397472,,
N1397470,,
N1397444,,
N1397450,,
N1397443,,
N1397449,,
N1397438,,
N1397445,,
N1397441,,
N1397434,,
N1397433,,
N1397440,,
N1397439,,
N1397430,,
N1397427,,
N1397431,,
N1399113,,
N1395129,,
N1399110,,
N1399111,,
N1399109,,
N1399108,,
N1399107,,
N1399104,,
N1399105,,
N1399100,,
N1399103,,
N1399102,Correct,1
N1399101,,
N1399096,,
N1399099,,
N1399098,,
N1399097,,
N1399094,,
N1399095,,
N1399092,,
N1399093,,
N1399088,,
N1399091,,
N1399090,Correct,1
N1399089,,
N1399084,,
N1399087,,
N1399085,,
N1399080,,
N1395165,,
N1399086,,
N1399082,,
N1399079,,
N1399076,,
N1399081,,
N1399078,,
N1399073,,
N1399074,,
N1399075,,
N1399069,,
N1399142,Correct,1
N1417450,,
N1417451,,
N1431052,Correct,1
N1417449,,
N1417443,,
N1417441,,
N1399063,,
N1399062,,
N1399061,,
N1399060,,
N1413239,,
N1409546,,
N1399056,,
N1399057,,
N1408782,,
N1408784,,
N1412427,,
N1416377,,
N1416834,,
N1416379,,
N1409639,Correct,1
N1399191,,
N1394966,,
N1399185,,
N1399181,,
N1399186,,
N1399184,,
N1399176,,
N1405854,Correct,1
N1399178,,
N1399177,,
N1399173,,
N1399170,,
N1399217,,
N1394989,,
N1399167,,
N1399164,,
N1399162,,
N1399165,,
N1399161,,
N1399159,,
N1399160,,
N1399156,,
N1414407,Correct,1
N1399155,,
N1399157,,
N1399152,,
N1399153,,
N1399148,,
N1399147,,
N1399150,,
N1399149,,
N1399144,,
N1399140,,
N1399143,,
N1399145,,
N1399146,Incorrect,1
N1399141,,
N1399138,,
N1399134,,
N1399137,,
N1399135,,
N1399129,,
N1399136,Correct,1
N1399133,,
N1399124,,
N1399131,,
N1399125,,
N1398666,Correct,1
N1399120,,
N1399122,,
N1399126,,
N1399117,,
N1399123,,
N1399121,Correct,1
N1399119,,
N1399118,,
N1399115,,
N1398968,,
N1399023,,
N1398973,,
N1398966,,
N1398970,,
N1398969,,
N1398964,,
N1398965,,
N1398963,,
N1398962,,
N1398959,,
N1398954,,
N1398960,,
N1398951,,
N1398957,,
N1526273,,
N1395375,Correct,1
N1398947,,
N1398941,,
N1395371,,
N1398939,,
N1398948,,
N1398950,,
N1398935,,
N1398942,,
N1398943,,
N1398937,,
N1398938,,
N1395415,,
N1398933,,
N1398929,,
N1398934,,
N1398931,,
N1398926,,
N1398925,,
N1398932,,
N1398927,,
N1398924,,
N1398928,,
N1398923,,
N1398920,,
N1417151,,
N1398892,Correct,1
N1416939,,
N1416937,,
N1398918,,
N1398912,,
N1398917,,
N1511740,,
N1398905,,
N1398911,,
N1398909,,
N1398899,,
N1398907,,
N1398901,,
N1398895,,
N1413226,,
N1413215,,
N1395231,,
N1399034,,
N1399033,,
N1399032,,
N1413213,,
N1399026,,
N1399029,,
N1399028,,
N1399022,,
N1399021,,
N1399025,,
N1399027,,
N1399017,,
N1399024,,
N1399020,,
N1399015,,
N1399019,,
N1399012,,
N1399010,,
N1399014,,
N1399013,,
N1399009,,
N1399006,,
N1399002,,
N1399007,,
N1399008,,
N1544014,,
N1416817,Correct,1
N1416732,,
N1416735,,
N1398990,,
N1398995,,
N1398993,,
N1416932,,
N1394848,Incorrect,1
N1416930,,
N1398988,,
N1398982,,
N1398987,,
N1398980,,
N1398984,,
N1398983,,
N1398976,,
N1398979,,
N1398978,,
N1398972,,
N1398977,,
N1398974,,
N1399437,,
N1399439,,
N1399436,,
N1399434,,
N1394351,,
N1399432,,
N1399431,,
N1399430,,
N1399428,,
N1399426,,
N1399425,,
N1399424,,
N1399422,,
N1399420,,
N1399418,,
N1399417,,
N1399416,,
N1399414,,
N1399412,,
N1399413,,
N1410971,,
N1399411,,
N1399400,,
N1399401,,
N1399396,,
N1399392,,
N1399398,,
N1437457,,
N1437456,,
N1399384,,
N1399390,,
N1399389,,
N1399381,,
N1399385,,
N1399386,,
N1399378,,
N1399382,,
N1399376,,
N1399374,,
N1399372,,
N1399368,,
N1399371,,
N1399369,,
N1399370,,
N1412157,,
N1399363,,
N1399365,,
N1399356,,
N1399364,,
N1399361,,
N1399359,,
N1399353,,
N1399357,,
N1399476,,
N1399475,,
N1399474,,
N1399473,,
N1399471,,
N1399472,,
N1399469,,
N1399470,,
N1399468,,
N1399466,,
N1399467,,
N1399461,,
N1399459,,
N1399458,,
